,Type,Subtype,Residents,FAR,Max Height (m),CM (m²),IND (m²),MFH (m²),MFL (m²),MFM (m²),MX (m²),OS (m²),SFA (m²),SFD (m²),CV (m²)
4,Dense_Nodal,T-Shape,0,4.92,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Dense_Nodal,Standard,0,4.76,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dense_Nodal,Horizontal,0,4.18,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mid_High_Street,T-Shape,0,2.55,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mid_High_Street,Horizontal,0,2.2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Treed_Large_Home,Multi-Family,0,2.16,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Moderate_Density,Standard,0,2.14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Moderate_Density,T-Shape,0,2.1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Moderate_Density,Horizontal,0,1.97,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mid_High_Street,Standard,0,1.78,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mid_High_Street,Diagonal,0,1.2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Treed_Large_Home,Standard,91,1.14,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Mid_High_Street,Z-Shape,0,1.03,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Typical_Van_SF,Standard,174,0.72,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Open_Low_Density,Standard,0,0.64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Typical_Van_West_SF,Standard,60,0.55,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Open_Low_Density,Commercial,0,0.53,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Open_Low_Density,Industrial,0,0.28,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Coarse_Grain,Horizontal,0,0.27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Coarse_Grain,Standard,0,0.26,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Green_Open_Space,Standard,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
